k1,k2,k3,d1,d2,d3,HB,LP,SDP,"Bound(HB,LP)","Bound(HB,SDP)"
1,-12,12,-0.999,-0.083,0.084,2576,54.4,54.27,54.4,54.27
1,-12,12,-0.996,-0.081,0.085,2576,54.46,54.13,54.46,54.13
1,-12,12,-0.994,-0.08,0.086,2576,54.51,54,54.51,54
1,-12,12,-0.992,-0.079,0.087,2576,54.56,53.87,54.56,53.87
1,-12,12,-0.99,-0.078,0.088,2576,54.61,53.74,54.61,53.74
1,-12,12,-0.988,-0.077,0.089,2576,54.66,53.62,54.66,53.62
1,-12,12,-0.985,-0.075,0.09,2576,54.7,53.5,54.7,53.5
1,-12,12,-0.983,-0.074,0.091,2576,54.74,53.39,54.74,53.39
1,-12,12,-0.981,-0.073,0.092,2576,54.78,53.28,54.78,53.28
1,-12,12,-0.979,-0.072,0.093,2576,54.82,53.17,54.82,53.17
1,-12,12,-0.977,-0.071,0.094,2576,54.85,53.07,54.85,53.07
1,-12,12,-0.975,-0.07,0.095,2576,54.88,52.97,54.88,52.97
1,-12,12,-0.972,-0.068,0.096,2576,54.91,52.88,54.91,52.88
1,-12,12,-0.97,-0.067,0.097,2576,54.93,52.79,54.93,52.79
1,-12,12,-0.968,-0.066,0.098,2576,54.95,52.7,54.95,52.7
1,-12,12,-0.966,-0.065,0.099,2576,54.97,52.62,54.97,52.62
1,-12,12,-0.964,-0.064,0.1,2576,54.99,52.54,54.99,52.54
1,-12,12,-0.961,-0.062,0.101,2576,55,52.46,55,52.46
1,-12,12,-0.959,-0.061,0.102,2576,55.01,52.39,55.01,52.39
1,-12,12,-0.957,-0.06,0.103,2576,55.02,52.33,55.02,52.33
1,-12,12,-0.955,-0.059,0.104,2576,55.03,52.26,55.03,52.26
1,-12,12,-0.953,-0.058,0.105,2576,55.03,52.2,55.03,52.2
1,-12,12,-0.951,-0.057,0.106,2576,55.03,52.15,55.03,52.15
1,-12,12,-0.948,-0.055,0.107,2576,55.03,52.1,55.03,52.1
1,-12,12,-0.946,-0.054,0.108,2576,55.02,52.05,55.02,52.05
1,-12,12,-0.944,-0.053,0.109,2576,55.01,52,55.01,52
1,-12,12,-0.942,-0.052,0.11,2576,55,51.96,55,51.96
1,-12,12,-0.94,-0.051,0.111,2576,54.99,51.92,54.99,51.92
1,-12,12,-0.937,-0.049,0.112,2576,54.97,51.88,54.97,51.88
1,-12,12,-0.935,-0.048,0.113,2576,54.95,51.85,54.95,51.85
1,-12,12,-0.933,-0.047,0.114,2576,54.93,51.82,54.93,51.82
1,-12,12,-0.931,-0.046,0.115,2576,54.9,51.79,54.9,51.79
1,-12,12,-0.929,-0.045,0.116,2576,54.87,51.76,54.87,51.76
1,-12,12,-0.927,-0.044,0.117,2576,54.84,51.74,54.84,51.74
1,-12,12,-0.924,-0.042,0.118,2576,54.81,51.71,54.81,51.71
1,-12,12,-0.922,-0.041,0.119,2576,54.77,51.69,54.77,51.69
1,-12,12,-0.92,-0.04,0.12,2576,54.73,51.67,54.73,51.67
1,-12,12,-0.918,-0.039,0.121,2576,54.69,51.65,54.69,51.65
1,-12,12,-0.916,-0.038,0.122,2576,54.64,51.64,54.64,51.64
1,-12,12,-0.913,-0.036,0.123,2576,54.6,51.63,54.6,51.63
1,-12,12,-0.911,-0.035,0.124,2576,54.55,51.61,54.55,51.61
1,-12,12,-0.909,-0.034,0.125,2576,54.49,51.6,54.49,51.6
1,-12,12,-0.907,-0.033,0.126,2576,54.44,51.59,54.44,51.59
1,-12,12,-0.905,-0.032,0.127,2576,54.38,51.59,54.38,51.59
1,-12,12,-0.903,-0.031,0.128,2576,54.32,51.58,54.32,51.58
1,-12,12,-0.9,-0.029,0.129,2576,54.26,51.58,54.26,51.58
1,-12,12,-0.898,-0.028,0.13,2576,54.19,51.57,54.19,51.57
1,-12,12,-0.896,-0.027,0.131,2576,54.12,51.57,54.12,51.57
1,-12,12,-0.894,-0.026,0.132,2576,54.05,51.57,54.05,51.57
1,-12,12,-0.892,-0.025,0.133,2576,53.98,51.57,53.98,51.57
1,-12,12,-0.889,-0.023,0.134,2576,53.9,51.57,53.9,51.57
1,-12,12,-0.887,-0.022,0.135,2576,53.82,51.57,53.82,51.57
1,-12,12,-0.885,-0.021,0.136,2576,53.74,51.57,53.74,51.57
1,-12,12,-0.883,-0.02,0.137,2576,53.65,51.57,53.65,51.57
1,-12,12,-0.881,-0.019,0.138,2576,53.57,51.57,53.57,51.57
1,-12,12,-0.879,-0.018,0.139,2576,53.48,51.57,53.48,51.57
1,-12,12,-0.876,-0.016,0.14,2576,53.39,51.57,53.39,51.57
1,-12,12,-0.874,-0.015,0.141,2576,53.3,51.57,53.3,51.57
1,-12,12,-0.872,-0.014,0.142,2576,53.2,51.57,53.2,51.57
1,-12,12,-0.87,-0.013,0.143,2576,53.1,51.57,53.1,51.57
1,-12,12,-0.868,-0.012,0.144,2576,53,51.57,53,51.57
1,-12,12,-0.865,-0.01,0.145,2576,52.9,51.57,52.9,51.57
1,-12,12,-0.863,-0.009,0.146,2576,52.79,51.58,52.79,51.58
1,-12,12,-0.861,-0.008,0.147,2553,52.91,51.58,52.91,51.58
1,-12,12,-0.859,-0.007,0.148,2553,53.19,51.58,53.19,51.58
1,-12,12,-0.857,-0.006,0.149,2553,53.49,51.59,53.49,51.59
1,-12,12,-0.855,-0.005,0.15,2553,53.79,51.6,53.79,51.6
1,-12,12,-0.852,-0.003,0.151,2553,54.09,51.61,54.09,51.61
1,-12,12,-0.85,-0.002,0.152,2553,54.4,51.62,54.4,51.62
1,-12,12,-0.848,-0.001,0.153,2553,54.72,51.63,54.72,51.63
1,-12,12,-0.846,0,0.154,2553,55.04,51.64,55.04,51.64
1,-12,12,-0.844,0.001,0.155,2553,55.37,51.66,55.37,51.66
1,-12,12,-0.841,0.003,0.156,2553,55.7,51.68,55.7,51.68
1,-12,12,-0.839,0.004,0.157,2553,56.05,51.7,56.05,51.7
1,-12,12,-0.837,0.005,0.158,2553,56.4,51.72,56.4,51.72
1,-12,12,-0.835,0.006,0.159,2553,56.75,51.74,56.75,51.74
1,-12,12,-0.833,0.007,0.16,2553,57.12,51.76,57.12,51.76
1,-12,12,-0.831,0.008,0.161,2553,57.49,51.79,57.49,51.79
1,-12,12,-0.828,0.01,0.162,2553,57.87,51.81,57.87,51.81
1,-12,12,-0.826,0.011,0.163,2553,58.26,51.83,58.26,51.83
1,-12,12,-0.824,0.012,0.164,2553,58.65,51.85,58.65,51.85
1,-12,12,-0.822,0.013,0.165,2553,58.96,51.86,58.96,51.86
